abstract,author,cited,date,downed,download,fund,highlight,info,kws,source,title
为研究发酵杜仲叶粉对蛋鸡蛋、肉品质和风味及盲肠微生物的影响，试验选取1800只、18周龄、健康、体重相近的京红蛋鸡，随机分为对照组和试验组2组，每组6个重复，每个重复150只鸡。对照组饲喂玉米豆粕型基础日粮，试验组在基础日粮中加入0.5%的发酵杜仲叶粉，试验周期75 d。试验结果表明:试验组相比对照组显著提高了鸡蛋中棕榈油酸、亚油酸、花生四烯酸组成比例，分别提高7.79%、16.54%、7.79%(P0.05);同时硬脂酸降低了16.12%(P0.05);胆固醇含量极显著降低了12.4%(P0.01)。试验组鸡肉中天门冬氨酸、苏氨酸、丝氨酸、丙氨酸、缬氨酸、亮氨酸、苯丙氨酸、赖氨酸、精氨酸、蛋氨酸、总鲜味氨基酸和总氨基酸显著高于对照组，分别提高10.42%、11.69%、9.15%、10.34%、14.94%、10.93%、11.18%、12.90%、9.40%、11.96%、7.14%和10.19%(P0.05)，同时试验组组氨酸和色氨酸比对照组分别提高53.19%和27.50%(P0.01);试验组鸡肉中棕榈油硬脂酸、饱和脂肪酸和花生四烯酸极显著高于对照组，分别提高35.78%、18.26%、101.75%(P0.01)。试验组盲肠大肠杆菌数量比对照组显著下降5.52%(P0.05)，乳酸菌比对照组提高了9.55%(P0.05)。综上所述，蛋鸡饲料中添加0.5%的发酵杜仲叶粉不仅改善了蛋鸡蛋、肉品质和风味，而且能够调节肠道健康。,段明房 胡红伟 闫凌鹏 麻啸涛 邢俊德 杨京娥 党亚朋 庄自佳,6,2017年06期,256.0,http://www.cnki.com.cn/Article/CJFDTOTAL-SLGZ201706003.htm,山西省重点研发计划(201603D221026-3),"['为研究发酵杜仲叶粉对蛋鸡蛋、肉品质和风味及盲肠微生物的影响，试验选取1800只、18周龄、健康、体重相近的京红蛋鸡，随机分为对照组和试验组2组，每组6个重复，每个重复150只鸡。对照组饲喂玉米豆粕型基础日粮，试验组在基础日粮中加入0.5%的发酵杜仲叶粉，试验周期75 d。试验结果表明:试验组相比对照组显著提高了鸡蛋中棕榈油酸、亚油酸、花生四烯酸组成比例，分别提高7.79%、16.54%、7.79%(P0.05);同时硬脂酸降低了16.12%(P0.05);胆固醇含量极显著降低了12.4%(P0.01)。试验组鸡肉中天门冬氨酸、苏氨酸、丝氨酸、丙氨酸、缬氨酸、亮氨酸、苯丙氨酸、赖氨酸、精氨酸、蛋氨酸、总鲜味氨基酸和总氨基酸显著高于对照组，分别提高10.42%、11.69%、9.15%、10.34%、14.94%、10.93%、11.18%、12.90%、9.40%、11.96%、7.14%和10.19%(P0.05)，同时试验组组氨酸和色氨酸比对照组分别提高53.19%和27.50%(P0.01);试验组鸡肉中棕榈油硬脂酸、饱和脂肪酸和花生四烯酸极显著高于对照组，分别提高35.78%、18.26%、101.75%(P0.01)。试验组盲肠大肠杆菌数量比对照组显著下降5.52%(P0.05)，乳酸菌比对照组提高了9.55%(P0.05)。综上所述，蛋鸡饲料中添加0.5%的发酵杜仲叶粉不仅改善了蛋鸡蛋、肉品质和风味，而且能够调节肠道健康。', '发酵杜仲叶粉;蛋鸡;蛋品质;鸡肉风味', '发酵杜仲叶粉对蛋鸡蛋、肉品质和风味及盲肠微生物的影响', '山西大禹生物工程股份有限公司;太原理工大学化学工程学院;三门峡康裕养殖有限公司;', '山西省重点研发计划(201603D221026-3)', '知网期刊']",山西大禹生物工程股份有限公司;太原理工大学化学工程学院;三门峡康裕养殖有限公司;,发酵杜仲叶粉;蛋鸡;蛋品质;鸡肉风味,知网期刊,发酵杜仲叶粉对蛋鸡蛋、肉品质和风味及盲肠微生物的影响
为分析河南地区猪流行性腹泻病毒(PEDV)的变异情况，本研究设计合成扩增S基因全长的引物，利用RT-PCR方法，对2014—2015年采集病料中38株PEDVS基因进行扩增、克隆和序列测定，并根据结果构建进化树和进行序列比对分析。S基因进化树分析表明:所有PEDVS基因扩增片段与近年来中国和美国分离的变异毒株亲缘关系较近。序列比对分析表明:扩增的PEDVS基因编码的S蛋白中存在氨基酸的插入和缺失。并且，一些扩增S基因片段在编码的S蛋白的C端有11个氨基酸的缺失。许多扩增的S基因在编码的S蛋白的中和表位COE和2C10区域存在氨基酸突变。这些结果为了解河南地区PEDV变异流行情况和控制PED的暴发提供了基础研究理论。,董建国 王瑞 曲哲会 赵瑜 刘涛,5,2018年04期,155.0,http://www.cnki.com.cn/Article/CJFDTOTAL-XMSY201804026.htm,大别山区动物重大疫病综合防控技术(CXTD-201602),"['为分析河南地区猪流行性腹泻病毒(PEDV)的变异情况，本研究设计合成扩增S基因全长的引物，利用RT-PCR方法，对2014—2015年采集病料中38株PEDVS基因进行扩增、克隆和序列测定，并根据结果构建进化树和进行序列比对分析。S基因进化树分析表明:所有PEDVS基因扩增片段与近年来中国和美国分离的变异毒株亲缘关系较近。序列比对分析表明:扩增的PEDVS基因编码的S蛋白中存在氨基酸的插入和缺失。并且，一些扩增S基因片段在编码的S蛋白的C端有11个氨基酸的缺失。许多扩增的S基因在编码的S蛋白的中和表位COE和2C10区域存在氨基酸突变。这些结果为了解河南地区PEDV变异流行情况和控制PED的暴发提供了基础研究理论。', '猪流行性腹泻病毒(PEDV);S蛋白;分子特性;进化分析', '2014—2015年豫南地区猪流行性腹泻病毒S基因变异分析', '信阳农林学院牧医工程学院', '大别山区动物重大疫病综合防控技术(CXTD-201602)', '知网期刊']",信阳农林学院牧医工程学院,猪流行性腹泻病毒(PEDV);S蛋白;分子特性;进化分析,知网期刊,2014—2015年豫南地区猪流行性腹泻病毒S基因变异分析
目的探讨血清相关指标水平联合检测在慢性乙型肝炎(HBV)病情评估中的应用。方法选取2017年1月至2018年4月我院87例HBV患者设为观察组，另取同期健康体检者81例设为对照组。均接受血清γ-谷氨酰转移酶(GGT)、天冬氨酸转氨酶(AST)、丙氨酸氨基转移酶(ALT)及乙型肝炎病毒(HBV)DNA检测，对比观察组与对照组、不同病情分度者血清GGT、AST、ALT及HBV-DNA水平。结果观察组血清GGT、AST、ALT水平高于对照组(P0.05);HBV轻度者血清GGT、AST、ALT及HBV-DNA水平低于中度者(P0.05)，中度者上述各指标水平低于重度者(P0.05)。结论血清GGT、AST、ALT及HBV-DNA表达与HBV发生、进展密切相关，上述指标水平联合检测有利于帮助临床对HBV病变程度进行早期判断，进而指导治疗方案的制定与实施。,张小磊,0,2019年02期,56.0,http://www.cnki.com.cn/Article/CJFDTOTAL-NMYZ201902038.htm,郑州市2014年度科技发展计划(项目编号:20140523),"['目的探讨血清相关指标水平联合检测在慢性乙型肝炎(HBV)病情评估中的应用。方法选取2017年1月至2018年4月我院87例HBV患者设为观察组，另取同期健康体检者81例设为对照组。均接受血清γ-谷氨酰转移酶(GGT)、天冬氨酸转氨酶(AST)、丙氨酸氨基转移酶(ALT)及乙型肝炎病毒(HBV)DNA检测，对比观察组与对照组、不同病情分度者血清GGT、AST、ALT及HBV-DNA水平。结果观察组血清GGT、AST、ALT水平高于对照组(P0.05);HBV轻度者血清GGT、AST、ALT及HBV-DNA水平低于中度者(P0.05)，中度者上述各指标水平低于重度者(P0.05)。结论血清GGT、AST、ALT及HBV-DNA表达与HBV发生、进展密切相关，上述指标水平联合检测有利于帮助临床对HBV病变程度进行早期判断，进而指导治疗方案的制定与实施。', '慢性乙型肝炎;肝功能酶学指标;HBV-DNA', '血清ALT、AST、GGT、HBV-DNA联合检测在慢性乙型肝炎病情评估中的应用', '河南省鲁山县人民医院PCR实验室', '郑州市2014年度科技发展计划(项目编号:20140523)', '知网期刊']",河南省鲁山县人民医院PCR实验室,慢性乙型肝炎;肝功能酶学指标;HBV-DNA,知网期刊,血清ALT、AST、GGT、HBV-DNA联合检测在慢性乙型肝炎病情评估中的应用
【目的】对比分析海水和淡水养殖关岛红罗非鱼的品质特性和营养成分，为红罗非鱼配合饲料研制和罗非鱼肉质产品深加工提供参考依据。【方法】采用国家相关检测标准的生物化学方法和质构仪对海水养殖和淡水养殖关岛红罗非鱼肌肉的一般营养成分、氨基酸、脂肪酸及质构特性进行测定和分析，并评价两种养殖模式下关岛红罗非鱼肌肉的营养价值。【结果】海水养殖关岛红罗非鱼肌肉的咀嚼性(12.63 m J)及水分(79.83%)、粗脂肪含量(1.29%)显著高于淡水养殖模式(7.74 m J、77.84%和1.05%)(P0.05，下同)，粗蛋白含量(18.13%)显著低于淡水养殖模式(20.46%)。海水和淡水养殖的关岛红罗非鱼肌肉均检测出17种氨基酸，必需氨基酸含量分别占其氨基酸总量的41.30%和41.38%，必需氨基酸与非必需氨基酸的比值(EAA/NEAA)分别为70.36%和70.59%，均符合联合国粮农组织/世界卫生组织(FAO/WHO)的评价标准，必需氨基酸指数(EAAI)分别为92.43和86.30。海水养殖模式下关岛红罗非鱼的脂肪酸总量、饱和脂肪酸、单不饱和脂肪酸和多不饱和脂肪酸含量均显著高于淡水养殖模式。【结论】两种养殖模式下的关岛红罗非鱼均具有较高营养价值，其中海水养殖模式下的关岛红罗非鱼在口感和营养价值方面优于淡水养殖模式，可作为主要养殖模式进行推广。,赵何勇 陈诏 徐鸿飞 李华 袁宗伟 黄彩林,7,2018年07期,237.0,http://www.cnki.com.cn/Article/CJFDTOTAL-GXNY201807023.htm,广西重点研发计划项目(桂科AB16380029),"['【目的】对比分析海水和淡水养殖关岛红罗非鱼的品质特性和营养成分，为红罗非鱼配合饲料研制和罗非鱼肉质产品深加工提供参考依据。【方法】采用国家相关检测标准的生物化学方法和质构仪对海水养殖和淡水养殖关岛红罗非鱼肌肉的一般营养成分、氨基酸、脂肪酸及质构特性进行测定和分析，并评价两种养殖模式下关岛红罗非鱼肌肉的营养价值。【结果】海水养殖关岛红罗非鱼肌肉的咀嚼性(12.63 m J)及水分(79.83%)、粗脂肪含量(1.29%)显著高于淡水养殖模式(7.74 m J、77.84%和1.05%)(P0.05，下同)，粗蛋白含量(18.13%)显著低于淡水养殖模式(20.46%)。海水和淡水养殖的关岛红罗非鱼肌肉均检测出17种氨基酸，必需氨基酸含量分别占其氨基酸总量的41.30%和41.38%，必需氨基酸与非必需氨基酸的比值(EAA/NEAA)分别为70.36%和70.59%，均符合联合国粮农组织/世界卫生组织(FAO/WHO)的评价标准，必需氨基酸指数(EAAI)分别为92.43和86.30。海水养殖模式下关岛红罗非鱼的脂肪酸总量、饱和脂肪酸、单不饱和脂肪酸和多不饱和脂肪酸含量均显著高于淡水养殖模式。【结论】两种养殖模式下的关岛红罗非鱼均具有较高营养价值，其中海水养殖模式下的关岛红罗非鱼在口感和营养价值方面优于淡水养殖模式，可作为主要养殖模式进行推广。', '关岛红罗非鱼;海水养殖;淡水养殖;肌肉品质', '海水和淡水养殖关岛红罗非鱼肌肉营养成分及品质特性分析', '广西水产引育种中心', '广西重点研发计划项目(桂科AB16380029)', '知网期刊']",广西水产引育种中心,关岛红罗非鱼;海水养殖;淡水养殖;肌肉品质,知网期刊,海水和淡水养殖关岛红罗非鱼肌肉营养成分及品质特性分析
目的:探讨三主体双轨道互动护理干预应用于肝硬化患者对其肝功能、治疗依从性和自我管理能力的影响。方法:选取2015年3月至2017年4月我院收治的118例肝硬化患者，采取双盲随机抽样方法分为两组各59例，常规组实施常规护理干预，试验组实施三主体双轨道互动护理干预。比较两组患者护理前后肝功能指标、治疗依从性和自我管理能力变化情况。结果:试验组出院4个月总胆红素(TBIL)、丙氨酸转氨酶(ALT)水平低于常规组，白蛋白(ALB)和白蛋白/球蛋白(A/G)指标高于常规组(P 0. 05);试验组出院4个月治疗依从性优于常规组(P 0. 05)，日常生活管理、病情监测管理、饮食管理和用药管理评分均高于常规组(P 0. 05)。结论:三主体双轨道互动护理干预应用于肝硬化患者可有效改善患者肝功能水平，提高其治疗依从性和自我管理能力，值得临床推广。,丁卫芳 章红燕 周美芳,1,2019年04期,15.0,http://www.cnki.com.cn/Article/CJFDTOTAL-TDYX201904023.htm,无锡市医院管理中心科研项目(YGZXH1308),"['目的:探讨三主体双轨道互动护理干预应用于肝硬化患者对其肝功能、治疗依从性和自我管理能力的影响。方法:选取2015年3月至2017年4月我院收治的118例肝硬化患者，采取双盲随机抽样方法分为两组各59例，常规组实施常规护理干预，试验组实施三主体双轨道互动护理干预。比较两组患者护理前后肝功能指标、治疗依从性和自我管理能力变化情况。结果:试验组出院4个月总胆红素(TBIL)、丙氨酸转氨酶(ALT)水平低于常规组，白蛋白(ALB)和白蛋白/球蛋白(A/G)指标高于常规组(P 0. 05);试验组出院4个月治疗依从性优于常规组(P 0. 05)，日常生活管理、病情监测管理、饮食管理和用药管理评分均高于常规组(P 0. 05)。结论:三主体双轨道互动护理干预应用于肝硬化患者可有效改善患者肝功能水平，提高其治疗依从性和自我管理能力，值得临床推广。', '三主体双轨道互动护理干预;肝硬化;肝功能;治疗依从性', '三主体双轨道互动护理干预应用于肝硬化患者的效果评价', '无锡市第五人民医院护理部', '无锡市医院管理中心科研项目(YGZXH1308)', '知网期刊']",无锡市第五人民医院护理部,三主体双轨道互动护理干预;肝硬化;肝功能;治疗依从性,知网期刊,三主体双轨道互动护理干预应用于肝硬化患者的效果评价
为研究虾酱的工艺、营养及风味特色，探讨中国传统发酵调味料的产业化。以低值虾为原料，模拟传统虾酱工艺，在恒温40℃条件下自然发酵42 d。然后与市售产品(S1、S2)相对照，检测了产品发酵过程中的游离氨基酸、固相微萃取-气相色谱-质谱挥发性风味成分及变化，同时以感官品评结合电子鼻对风味特点进行综合分析与比较。结果表明，游离氨基酸总量从发酵开始到结束由2 590 mg/100 m L增加到7 826 mg/100 m L;鉴定了3种虾酱中的主要挥发性风味成分:自制虾酱53种、S1 62种、S2 62种。发酵过程中醛类和吡嗪类化合物相对含量分别由0.62%、1.73%增加到了10.92%、8.48%，胺类和醇类相对含量则分别由77.4%、12.3%降低到了13.35%、6.75%，增加及下降均较显著(P0.05);电子鼻检测发现自制虾酱与S2相似度最高，这与感官品评的结果一致。感官评价结合氨基酸分析、固相微萃取-气相色谱-质谱和电子鼻技术，综合评价了传统水产发酵调味品虾酱的风味。,吴帅 杨锡洪 解万翠 吉宏武 刘书成,13,2016年02期,645.0,http://www.cnki.com.cn/Article/CJFDTOTAL-SPKX201602023.htm,国家现代农业产业技术体系建设专项(GARS-47),"['为研究虾酱的工艺、营养及风味特色，探讨中国传统发酵调味料的产业化。以低值虾为原料，模拟传统虾酱工艺，在恒温40℃条件下自然发酵42 d。然后与市售产品(S1、S2)相对照，检测了产品发酵过程中的游离氨基酸、固相微萃取-气相色谱-质谱挥发性风味成分及变化，同时以感官品评结合电子鼻对风味特点进行综合分析与比较。结果表明，游离氨基酸总量从发酵开始到结束由2 590 mg/100 m L增加到7 826 mg/100 m L;鉴定了3种虾酱中的主要挥发性风味成分:自制虾酱53种、S1 62种、S2 62种。发酵过程中醛类和吡嗪类化合物相对含量分别由0.62%、1.73%增加到了10.92%、8.48%，胺类和醇类相对含量则分别由77.4%、12.3%降低到了13.35%、6.75%，增加及下降均较显著(P0.05);电子鼻检测发现自制虾酱与S2相似度最高，这与感官品评的结果一致。感官评价结合氨基酸分析、固相微萃取-气相色谱-质谱和电子鼻技术，综合评价了传统水产发酵调味品虾酱的风味。', '虾酱;风味;氨基酸;固相微萃取-气相色谱-质谱', '低值虾发酵制备传统虾酱风味的综合分析与比较', '广东海洋大学食品科技学院广东省水产品加工与安全重点实验室水产品深加工广东普通高等学校重点实验室;青岛科技大学化学与分子工程学院;青岛科技大学化工学院;', '国家现代农业产业技术体系建设专项(GARS-47)', '知网期刊']",广东海洋大学食品科技学院广东省水产品加工与安全重点实验室水产品深加工广东普通高等学校重点实验室;青岛科技大学化学与分子工程学院;青岛科技大学化工学院;,虾酱;风味;氨基酸;固相微萃取-气相色谱-质谱,知网期刊,低值虾发酵制备传统虾酱风味的综合分析与比较
目的观察丹参多酚酸联合胸导管淋巴引流对重症急性胰腺炎(SAP)大鼠肝损伤的保护作用，为SAP治疗提供新的思路。方法采用经胰胆管逆行注射5%牛磺胆酸钠法制备大鼠SAP模型，120只SD大鼠随机分为假手术组、模型对照组、胸导管引流组、丹参多酚酸组、丹参多酚酸+颈部胸导管引流组，每组按时间点2、6、12 h分为3个亚组(8只/组)。检测大鼠血清中肝功能指标(丙氨转氨酶ALT、天冬氨酸转氨酶AST)、淀粉酶(AMY)、血浆内毒素(ET)含有量、血清过氧化氢酶(CAT)和谷胱甘肽过氧化物酶(GSH-Px)活性。结果与假手术组相比，模型对照组、颈部胸导管引流组、丹参多酚酸组及丹参多酚酸组+颈部胸导管引流组血清ALT、AST、AMY及血浆ET水平在各时点均升高，血清CAT及GSH-Px活性明显降低;颈部胸导管引流组、丹参多酚酸组及丹参多酚酸组+颈部胸导管引流组ALT、AST、AMY、ET水平明显低于模型对照组，丹参多酚酸组+颈部胸导管引流组各指标降低更为明显;颈部胸导管引流组、丹参多酚酸组及丹参多酚酸组+颈部胸导管引流组血清CAT、GSH-Px显著高于模型对照组，丹参多酚酸组+颈部胸导管引流组升高更为明显。结论丹参多酚酸联合胸导管引流可有效减轻重症急性胰腺炎合并的肝功能损伤。,王冬 李勇 王子政 赵群 范立侨 檀碧波 刘羽 崔平,2,2017年01期,99.0,http://www.cnki.com.cn/Article/CJFDTOTAL-ZCYA201701033.htm,河北医科大学第四医院外三科;河北省人民医院医务处;,"['目的观察丹参多酚酸联合胸导管淋巴引流对重症急性胰腺炎(SAP)大鼠肝损伤的保护作用，为SAP治疗提供新的思路。方法采用经胰胆管逆行注射5%牛磺胆酸钠法制备大鼠SAP模型，120只SD大鼠随机分为假手术组、模型对照组、胸导管引流组、丹参多酚酸组、丹参多酚酸+颈部胸导管引流组，每组按时间点2、6、12 h分为3个亚组(8只/组)。检测大鼠血清中肝功能指标(丙氨转氨酶ALT、天冬氨酸转氨酶AST)、淀粉酶(AMY)、血浆内毒素(ET)含有量、血清过氧化氢酶(CAT)和谷胱甘肽过氧化物酶(GSH-Px)活性。结果与假手术组相比，模型对照组、颈部胸导管引流组、丹参多酚酸组及丹参多酚酸组+颈部胸导管引流组血清ALT、AST、AMY及血浆ET水平在各时点均升高，血清CAT及GSH-Px活性明显降低;颈部胸导管引流组、丹参多酚酸组及丹参多酚酸组+颈部胸导管引流组ALT、AST、AMY、ET水平明显低于模型对照组，丹参多酚酸组+颈部胸导管引流组各指标降低更为明显;颈部胸导管引流组、丹参多酚酸组及丹参多酚酸组+颈部胸导管引流组血清CAT、GSH-Px显著高于模型对照组，丹参多酚酸组+颈部胸导管引流组升高更为明显。结论丹参多酚酸联合胸导管引流可有效减轻重症急性胰腺炎合并的肝功能损伤。', '重症急性胰腺炎;肝功能;胸导管引流;丹参多酚酸', '丹参多酚酸联合胸导管引流对重症急性胰腺炎大鼠肝功能的影响', 'nan', '河北医科大学第四医院外三科;河北省人民医院医务处;', '知网期刊']",nan,重症急性胰腺炎;肝功能;胸导管引流;丹参多酚酸,知网期刊,丹参多酚酸联合胸导管引流对重症急性胰腺炎大鼠肝功能的影响
本试验旨在研究苎麻青贮饲料品质及以苎麻青贮饲料为唯一粗饲料使用时，不同粗蛋白质(CP)水平精料补充料对西门塔尔牛生长性能和血清生化指标的影响。试验将苎麻与玉米秸秆按照质量比为1∶1的比例混合均匀后打捆制成苎麻青贮饲料。选择年龄相近，体重为(324.83±30.27)kg的健康西门塔尔肉牛18头，随机分为3组，每组6头，1头牛为1个重复，分别饲喂CP含量为18.0%(高CP水平，试验Ⅰ组)、16.0%(中CP水平，试验Ⅱ组)和14.0%(低CP水平，试验Ⅲ组)的精料补充料。预试期10d，正试期60d。结果表明，苎麻与玉米秸秆混合青贮后，感官等级评定为1级优良，pH为4.24，氨态氮(NH3-N)含量显著增加(P0.05)，干物质(DM)、有机物(OM)、CP、中性洗涤纤维(NDF)、酸性洗涤纤维(ADF)、钙(Ca)和总磷(TP)含量均无显著差异(P0.05)。饲养试验结果表明，试验Ⅰ组肉牛平均日增重(ADG)最高，达到1.49kg/d，试验Ⅱ、Ⅲ组ADG与试验Ⅰ组相比分别降低了14.09%和11.41%(P0.05)。3个试验组的干物质采食量(DMI)和料重比(F/G)均无显著差异(P0.05)。不同CP水平精料补充料对西门塔尔牛血清中碱性磷酸酶(ALP)、天门冬氨酸转移酶(AST)、ALT/AST、总蛋白(TP)、白蛋白(ALB)、球蛋白(GLB)、白球比(A/G)、总胆固醇(TCHO)、甘油三酯(TG)、高密度脂蛋白(HDL)和低密度脂蛋白(LDL)均无显著影响(P0.05)，但是试验Ⅰ组血清丙氨酸转移酶(ALT)活性显著高于试验Ⅲ组(P0.05)，但与试验Ⅱ组无显著差异(P0.05)。综上，苎麻的营养水平较高，和玉米秸秆混合后青贮可得到品质较好的苎麻青贮饲料;将苎麻青贮饲料作为肉牛唯一粗饲料来源，高CP含量(18%)的精料补充料可提高肉牛的生长性能。,魏金涛 汪红武 杨雪海 付聪 赵娜 陈芳 樊启文,3,2018年12期,134.0,http://www.cnki.com.cn/Article/CJFDTOTAL-GWXK201812019.htm,咸宁市农业科学院,"['本试验旨在研究苎麻青贮饲料品质及以苎麻青贮饲料为唯一粗饲料使用时，不同粗蛋白质(CP)水平精料补充料对西门塔尔牛生长性能和血清生化指标的影响。试验将苎麻与玉米秸秆按照质量比为1∶1的比例混合均匀后打捆制成苎麻青贮饲料。选择年龄相近，体重为(324.83±30.27)kg的健康西门塔尔肉牛18头，随机分为3组，每组6头，1头牛为1个重复，分别饲喂CP含量为18.0%(高CP水平，试验Ⅰ组)、16.0%(中CP水平，试验Ⅱ组)和14.0%(低CP水平，试验Ⅲ组)的精料补充料。预试期10d，正试期60d。结果表明，苎麻与玉米秸秆混合青贮后，感官等级评定为1级优良，pH为4.24，氨态氮(NH3-N)含量显著增加(P0.05)，干物质(DM)、有机物(OM)、CP、中性洗涤纤维(NDF)、酸性洗涤纤维(ADF)、钙(Ca)和总磷(TP)含量均无显著差异(P0.05)。饲养试验结果表明，试验Ⅰ组肉牛平均日增重(ADG)最高，达到1.49kg/d，试验Ⅱ、Ⅲ组ADG与试验Ⅰ组相比分别降低了14.09%和11.41%(P0.05)。3个试验组的干物质采食量(DMI)和料重比(F/G)均无显著差异(P0.05)。不同CP水平精料补充料对西门塔尔牛血清中碱性磷酸酶(ALP)、天门冬氨酸转移酶(AST)、ALT/AST、总蛋白(TP)、白蛋白(ALB)、球蛋白(GLB)、白球比(A/G)、总胆固醇(TCHO)、甘油三酯(TG)、高密度脂蛋白(HDL)和低密度脂蛋白(LDL)均无显著影响(P0.05)，但是试验Ⅰ组血清丙氨酸转移酶(ALT)活性显著高于试验Ⅲ组(P0.05)，但与试验Ⅱ组无显著差异(P0.05)。综上，苎麻的营养水平较高，和玉米秸秆混合后青贮可得到品质较好的苎麻青贮饲料;将苎麻青贮饲料作为肉牛唯一粗饲料来源，高CP含量(18%)的精料补充料可提高肉牛的生长性能。', '苎麻青贮;西门塔尔牛;生长性能;血清生化指标', '苎麻青贮及不同粗蛋白质水平精料补充料对西门塔尔牛生长性能和血清生化指标的影响', '湖北省农业科学院畜牧兽医研究所动物胚胎与分子育种工程重点实验室', '咸宁市农业科学院', '知网期刊']",湖北省农业科学院畜牧兽医研究所动物胚胎与分子育种工程重点实验室,苎麻青贮;西门塔尔牛;生长性能;血清生化指标,知网期刊,苎麻青贮及不同粗蛋白质水平精料补充料对西门塔尔牛生长性能和血清生化指标的影响
从生防菌的根际定殖、防效和诱导防御酶活性3个方面探讨了生防菌BS04防治辣椒疫病的机制。结果表明，生防菌BS04能够在辣椒根际定殖，且定殖密度比较稳定，稳定维持在105CFU/g以上;盆栽试验测定防治效果表明，生防菌BS04的培养液对辣椒幼苗期疫病有较明显的防治效果，防效达85.81%;防御酶活性测定结果显示，接种辣椒疫霉菌后，辣椒叶片的超氧化物歧化酶(SOD)、过氧化物酶(POD)、苯丙氨酸解氨酶(PAL)和多酚氧化酶(PPO)的活性均显著提高并出现峰值，但生防菌BS04培养液和辣椒疫霉菌共同处理后，各种防御酶的活性有所降低，并表现出相对平缓的状态。,李建文 高易宏 吴辉 江翱 孙文秀,5,2015年10期,124.0,http://www.cnki.com.cn/Article/CJFDTOTAL-JSNY201510047.htm,长江大学大学生创新训练计划(编号:2013024),"['从生防菌的根际定殖、防效和诱导防御酶活性3个方面探讨了生防菌BS04防治辣椒疫病的机制。结果表明，生防菌BS04能够在辣椒根际定殖，且定殖密度比较稳定，稳定维持在105CFU/g以上;盆栽试验测定防治效果表明，生防菌BS04的培养液对辣椒幼苗期疫病有较明显的防治效果，防效达85.81%;防御酶活性测定结果显示，接种辣椒疫霉菌后，辣椒叶片的超氧化物歧化酶(SOD)、过氧化物酶(POD)、苯丙氨酸解氨酶(PAL)和多酚氧化酶(PPO)的活性均显著提高并出现峰值，但生防菌BS04培养液和辣椒疫霉菌共同处理后，各种防御酶的活性有所降低，并表现出相对平缓的状态。', '生防菌;辣椒疫病;防病机制;生物防治', '生防菌BS04防治辣椒疫病机制', '长江大学生命科学学院;', '长江大学大学生创新训练计划(编号:2013024)', '知网期刊']",长江大学生命科学学院;,生防菌;辣椒疫病;防病机制;生物防治,知网期刊,生防菌BS04防治辣椒疫病机制
采用生物酶解技术研究了燕窝低聚肽的制备工艺。研究了4种不同类型的酶对燕窝的降解行为，比较了燕窝酶解前后分子量范围、氨基酸组以及唾液酸含量变化，采用动物实验研究了燕窝低聚肽对小鼠免疫细胞活性的影响。结果表明，燕窝经60℃热变性处理后可通过胰蛋白酶和胃蛋白酶有效降解，酶解处理4. 0 h燕窝降解率分别达到96%和91%，碱性蛋白酶和中性蛋白酶可部分降解燕窝，4. 0 h后残留量分别为40%和36%。酶解后的燕窝低聚肽的分子量主要集中在1～3 ku，低聚肽中总蛋白含量高于燕窝，酶解后唾液酸含量为14. 3%。动物实验结果表明燕窝低聚肽增强刀豆蛋白A(Concanavalin A，Con A)诱导胸腺依赖性淋巴细胞(Thymus-dependent lymphocyte，T cell)增殖效果高于燕窝(P 0. 05);燕窝与低聚肽在增强抑制自然杀伤细胞(Nature killer cell，NK cell)活性方面较为相近(P 0. 05)。,高建萍 姚之龙 张贵锋,1,2019年01期,258.0,http://www.cnki.com.cn/Article/CJFDTOTAL-SWXZ201901022.htm,衡水第一中学,"['采用生物酶解技术研究了燕窝低聚肽的制备工艺。研究了4种不同类型的酶对燕窝的降解行为，比较了燕窝酶解前后分子量范围、氨基酸组以及唾液酸含量变化，采用动物实验研究了燕窝低聚肽对小鼠免疫细胞活性的影响。结果表明，燕窝经60℃热变性处理后可通过胰蛋白酶和胃蛋白酶有效降解，酶解处理4. 0 h燕窝降解率分别达到96%和91%，碱性蛋白酶和中性蛋白酶可部分降解燕窝，4. 0 h后残留量分别为40%和36%。酶解后的燕窝低聚肽的分子量主要集中在1～3 ku，低聚肽中总蛋白含量高于燕窝，酶解后唾液酸含量为14. 3%。动物实验结果表明燕窝低聚肽增强刀豆蛋白A(Concanavalin A，Con A)诱导胸腺依赖性淋巴细胞(Thymus-dependent lymphocyte，T cell)增殖效果高于燕窝(P 0. 05);燕窝与低聚肽在增强抑制自然杀伤细胞(Nature killer cell，NK cell)活性方面较为相近(P 0. 05)。', '燕窝;酶解;低聚肽;制备工艺', '燕窝低聚肽制备工艺及生物学评价', '中国科学院过程工程研究所生化工程国家重点实验室', '衡水第一中学', '知网期刊']",中国科学院过程工程研究所生化工程国家重点实验室,燕窝;酶解;低聚肽;制备工艺,知网期刊,燕窝低聚肽制备工艺及生物学评价
